ID;Data Registro;Produto;Quantidade;Cores;Prazo Entrega;Link Arquivo;Observacoes;Imagem
1;25/02/2026 20:10;Canequinha Enfeite articulado;1;Azul;2026-02-27;https://makerworld.com/pt/models/1456678-articulated-coffee-cup#profileId-1518273;;imagem_1.png
2;25/02/2026 21:48;Enfeite de Mesa;1;Preto, Amarelo;2026-03-15;;"Studio 
Amanda Soarez 
Especialista em alisamento - Cor dourado e preto";
